ArcLength,DeltaRD
-30.7621,-7.056282758620695E-5
-30.2621,-8.29390057471266E-5
-29.7621,-9.377888218390783E-5
-29.2621,-1.0261183620689665E-4
-28.7621,-1.0338089367816069E-4
-28.2621,-9.538193965517264E-5
-27.7621,-8.562426149425276E-5
-27.2621,-7.846232758620703E-5
-26.7621,-7.529291666666675E-5
-26.2621,-7.558318390804575E-5
-25.7621,-7.947719540229894E-5
-25.2621,-8.567006321839052E-5
-24.7621,-9.300868965517216E-5
-24.2621,-1.0104065517241366E-4
-23.7621,-1.0966507758620667E-4
-23.2621,-1.1926907758620675E-4
-22.7621,-1.2839420114942512E-4
-22.2621,-1.3460239367816087E-4
-21.7621,-1.358157672413796E-4
-21.2621,-1.3297938505747123E-4
-20.7621,-1.2830564367816096E-4
-20.2621,-1.2416163505747115E-4
-19.7621,-1.2166244540229884E-4
-19.2621,-1.2090196551724138E-4
-18.7621,-1.2188775287356318E-4
-18.2621,-1.2386231609195418E-4
-17.7621,-1.258120632183907E-4
-17.2621,-1.2722688793103456E-4
-16.7621,-1.2851037356321836E-4
-16.2621,-1.3022535632183904E-4
-15.7621,-1.3194837356321823E-4
-15.2621,-1.3266339080459765E-4
-14.7621,-1.320104166666665E-4
-14.2621,-1.3138371551724138E-4
-13.7621,-1.3242343103448285E-4
-13.2621,-1.3421756609195408E-4
-12.7621,-1.3339923850574735E-4
-12.2621,-1.26540632183908E-4
-11.7621,-1.1345257471264368E-4
-11.2621,-9.742349425287367E-5
-10.7621,-8.342535057471269E-5
-10.2621,-7.508956896551747E-5
-9.76212,-7.396127873563228E-5
-9.26212,-7.950869827586204E-5
-8.76212,-8.935811781609178E-5
-8.26212,-1.0057547701149431E-4
-7.76212,-1.1089873850574718E-4
-7.26212,-1.1946085057471271E-4
-6.76212,-1.2633954022988502E-4
-6.26212,-1.315783678160919E-4
-5.76212,-1.3509679310344823E-4
-5.26212,-1.3648568965517243E-4
-4.76212,-1.3510414080459773E-4
-4.26212,-1.302095574712643E-4
-3.76212,-1.2190740229885052E-4
-3.26212,-1.123312816091954E-4
-2.76212,-1.0469938505747124E-4
-2.26212,-1.0188432758620702E-4
-1.76212,-1.0477244252873554E-4
-1.26212,-1.1143558045977021E-4
-0.762117,-1.1842482183908046E-4
-0.262117,-1.2559514655172415E-4
0.237883,-1.298781896551723E-4
0.737883,-1.2949413218390793E-4
1.23788,-1.2592471551724145E-4
1.73788,-1.2084500862068957E-4
2.23788,-1.167127040229885E-4
2.73788,-1.1478510057471257E-4
3.23788,-1.1637547413793095E-4
3.73788,-1.2947820402298826E-4
4.23788,-1.7019050287356318E-4
4.73788,-2.5438861781609226E-4
5.23788,-3.8145956609195403E-4
5.73788,-5.262022643678159E-4
6.23788,-6.549347988505746E-4
6.73788,-7.49056775862069E-4
7.23788,-8.068413333333335E-4
7.73788,-8.353615344827586E-4
8.23788,-8.317041494252874E-4
8.73788,-7.888906839080459E-4
9.23788,-7.047741724137929E-4
9.73788,-5.897728448275862E-4
10.2379,-4.6469235057471233E-4
10.7379,-3.465730316091955E-4
11.2379,-2.487835689655172E-4
11.7379,-1.7878796551724148E-4
12.2379,-1.3709821839080462E-4
12.7379,-1.1767922126436776E-4
13.2379,-1.1075608333333318E-4
13.7379,-1.0628012931034481E-4
14.2379,-9.971722126436797E-5
14.7379,-9.259164080459764E-5
15.2379,-9.033055459770111E-5
15.7379,-9.856412931034486E-5
16.2379,-1.188371206896551E-4
16.7379,-1.4639078160919532E-4
17.2379,-1.7339340229885068E-4
17.7379,-1.9332237931034513E-4
18.2379,-2.0196088218390828E-4
18.7379,-1.975033764367815E-4
19.2379,-1.791975919540231E-4
19.7379,-1.4969436206896554E-4
20.2379,-1.1564517816091944E-4
20.7379,-8.222202298850602E-5
21.2379,-5.09858620689655E-5
21.7379,-2.350593390804611E-5
22.2379,-1.0947413793103598E-6
22.7379,1.204647988505773E-5
23.2379,1.4242896551724168E-5
23.7379,6.070097701149418E-6
24.2379,-8.72112931034493E-6
24.7379,-2.244214655172411E-5
25.2379,-3.176315229885048E-5
25.7379,-3.4695706896551554E-5
26.2379,-3.318216666666656E-5
26.7379,-3.312949999999975E-5
27.2379,-3.426939511494236E-5
27.7379,-3.6634350000000135E-5
28.2379,-5.626692586206911E-5
28.7379,-7.138489367816095E-5
29.2379,-6.24973706896553E-5
