ArcLength,DeltaRD
-21.4606,-2.1123821839080575E-5
-20.9606,-1.2357922413793083E-5
-20.4606,-1.5430632183908175E-5
-19.9606,-2.4267336206896758E-5
-19.4606,-3.621469827586228E-5
-18.9606,-5.160966666666695E-5
-18.4606,-7.140151436781604E-5
-17.9606,-9.328611206896537E-5
-17.4606,-1.1305998563218415E-4
-16.9606,-1.284801752873563E-4
-16.4606,-1.3883876724137922E-4
-15.9606,-1.44749528735632E-4
-15.4606,-1.4742066954022957E-4
-14.9606,-1.4841902873563215E-4
-14.4606,-1.4876569540229893E-4
-13.9606,-1.4877429885057488E-4
-13.4606,-1.4806390229885058E-4
-12.9606,-1.4541539655172405E-4
-12.4606,-1.4010318390804606E-4
-11.9606,-1.3205702298850572E-4
-11.4606,-1.2246071839080454E-4
-10.9606,-1.1321234770114924E-4
-10.4606,-1.0582120689655162E-4
-9.96065,-1.0148386494252871E-4
-9.46065,-1.0088749712643661E-4
-8.96065,-1.043346609195401E-4
-8.46065,-1.113949942528733E-4
-7.96065,-1.2082550574712633E-4
-7.46065,-1.3067209482758608E-4
-6.96065,-1.3917036781609202E-4
-6.46065,-1.4518631321839063E-4
-5.96065,-1.479914454022987E-4
-5.46065,-1.466535201149427E-4
-4.96065,-1.404310574712645E-4
-4.46065,-1.307747873563218E-4
-3.96065,-1.2161759195402299E-4
-3.46065,-1.174212126436781E-4
-2.96065,-1.2052116091954018E-4
-2.46065,-1.2886084482758648E-4
-1.96065,-1.382352873563219E-4
-1.46065,-1.4428216666666666E-4
-0.960648,-1.4395946264367812E-4
-0.460648,-1.3656676724137928E-4
0.0393522,-1.224407212643677E-4
0.539352,-1.035449885057471E-4
1.03935,-8.418404310344828E-5
1.53935,-6.760429022988507E-5
2.03935,-5.5426204022988575E-5
2.53935,-4.838120114942525E-5
3.03935,-4.523788505747127E-5
3.53935,-4.425331321839074E-5
4.03935,-4.417870977011494E-5
4.53935,-4.44970833333334E-5
5.03935,-4.5235054597701167E-5
5.53935,-4.585688505747104E-5
6.03935,-4.639562643678175E-5
6.53935,-4.687432758620667E-5
7.03935,-4.690576149425272E-5
7.53935,-4.675729885057452E-5
8.03935,-4.633720689655189E-5
8.53935,-4.576089367816104E-5
9.03935,-4.5567020114942636E-5
9.53935,-4.645179022988498E-5
10.0394,-4.843368103448289E-5
10.5394,-5.0147060344827286E-5
11.0394,-5.056581609195381E-5
11.5394,-4.843267816091951E-5
12.0394,-4.304783045977012E-5
12.5394,-3.5061094827585856E-5
13.0394,-2.3942241379310307E-5
13.5394,-1.0305767241379428E-5
14.0394,5.473974137931324E-6
14.5394,2.1681324712643883E-5
15.0394,3.690567816091973E-5
15.5394,5.1726744252873834E-5
16.0394,6.522006034482793E-5
16.5394,7.791863505747152E-5
17.0394,8.961399425287339E-5
17.5394,9.923507183908008E-5
18.0394,1.0643463793103458E-4
18.5394,1.0983531896551749E-4
19.0394,1.0736323563218365E-4
19.5394,9.906112356321793E-5
20.0394,8.60200775862068E-5
20.5394,6.589356609195416E-5
21.0394,3.7625399425287556E-5
21.5394,-8.975620689655205E-6
22.0394,-8.910635632183926E-5
22.5394,-9.486204310344814E-5
23.0394,-9.451089655172383E-5
23.5394,-8.718437068965532E-5
24.0394,-8.064334770114948E-5
24.5394,-8.218677298850582E-5
25.0394,-8.753318390804568E-5
25.5394,-1.0179629022988518E-4
