ArcLength,DeltaRD
-20.3041,-2.324523419540229E-4
-19.8041,-2.3291296839080444E-4
-19.3041,-2.3744183908045965E-4
-18.8041,-2.48359132183908E-4
-18.3041,-2.6130592528735637E-4
-17.8041,-2.733273275862068E-4
-17.3041,-2.77462908045977E-4
-16.8041,-2.6687733620689663E-4
-16.3041,-2.4404420689655166E-4
-15.8041,-2.1358344827586211E-4
-15.3041,-1.811889109195402E-4
-14.8041,-1.5297041666666666E-4
-14.3041,-1.325626839080459E-4
-13.8041,-1.2146571264367808E-4
-13.3041,-1.1915862068965534E-4
-12.8041,-1.242569683908045E-4
-12.3041,-1.3465493390804573E-4
-11.8041,-1.4810563793103422E-4
-11.3041,-1.618769971264368E-4
-10.8041,-1.7277870689655166E-4
-10.3041,-1.7919566666666658E-4
-9.80412,-1.8130664080459765E-4
-9.30412,-1.7859093103448286E-4
-8.80412,-1.6784160632183926E-4
-8.30412,-1.4388979310344828E-4
-7.80412,-1.0529353735632188E-4
-7.30412,-5.734307183908054E-5
-6.80412,-1.3706729885057498E-5
-6.30412,1.1068485632184134E-5
-5.80412,1.0668163793103565E-5
-5.30412,-8.201442528735768E-6
-4.80412,-3.344427586206918E-5
-4.30412,-5.545664942528726E-5
-3.80412,-7.106499137931026E-5
-3.30412,-8.279430747126445E-5
-2.80412,-9.438701724137914E-5
-2.30412,-1.068178362068963E-4
-1.80412,-1.1535740229885077E-4
-1.30412,-1.146847442528734E-4
-0.804124,-1.0666450287356323E-4
-0.304124,-8.999051149425296E-5
0.195876,-7.609051149425256E-5
0.695876,-7.30516494252874E-5
1.19588,-7.61899080459769E-5
1.69588,-7.945610632183913E-5
2.19588,-7.914102298850565E-5
2.69588,-7.444905747126416E-5
3.19588,-6.856300287356348E-5
3.69588,-6.587799425287382E-5
4.19588,-6.912710344827598E-5
4.69588,-7.950799999999994E-5
5.19588,-9.558276724137913E-5
5.69588,-1.1448464942528751E-4
6.19588,-1.3194537643678144E-4
6.69588,-1.439232873563218E-4
7.19588,-1.4926901149425276E-4
7.69588,-1.4902556896551717E-4
8.19588,-1.429440574712645E-4
8.69588,-1.2948043390804596E-4
9.19588,-1.0771515517241374E-4
9.69588,-7.825167816091988E-5
10.1959,-4.536056034482787E-5
10.6959,-1.597934770114918E-5
11.1959,2.093761494252849E-6
11.6959,4.286143678161104E-6
12.1959,-5.786405172413553E-6
12.6959,-1.9455537356321694E-5
13.1959,-2.905510919540234E-5
13.6959,-3.346135919540219E-5
14.1959,-3.628839367816102E-5
14.6959,-4.079680172413788E-5
15.1959,-4.778216666666681E-5
15.6959,-5.578454310344852E-5
16.1959,-6.250787931034465E-5
16.6959,-6.591869252873563E-5
17.1959,-6.56150431034481E-5
17.6959,-6.36377816091954E-5
18.1959,-6.196026724137921E-5
18.6959,-6.0920933908046064E-5
19.1959,-6.115538793103443E-5
