ArcLength,DeltaRD
-20.2523,-4.066075478927197E-5
-19.7523,-4.183193869731821E-5
-19.2523,-4.335057662835243E-5
-18.7523,-4.424557471264352E-5
-18.2523,-4.370646360153283E-5
-17.7523,-3.925065517241372E-5
-17.2523,-2.7402061302681945E-5
-16.7523,-7.136496168582383E-6
-16.2523,1.8105789272030467E-5
-15.7523,4.3944524904214574E-5
-15.2523,6.828554022988498E-5
-14.7523,9.025179118773952E-5
-14.2523,1.0597764559386975E-4
-13.7523,1.0920803448275862E-4
-13.2523,9.581023180076618E-5
-12.7523,6.98190785440616E-5
-12.2523,4.079549808429109E-5
-11.7523,1.8072388888889027E-5
-11.2523,4.3591532567046395E-6
-10.7523,-4.062063218390906E-6
-10.2523,-1.1901383141762383E-5
-9.75233,-2.164865517241359E-5
-9.25233,-3.2954063218390887E-5
-8.75233,-4.272180268199239E-5
-8.25233,-4.7849787356321724E-5
-7.75233,-4.789319157088147E-5
-7.25233,-4.6418484674329644E-5
-6.75233,-4.765326053639859E-5
-6.25233,-5.4372296934865924E-5
-5.75233,-6.661547126436782E-5
-5.25233,-8.090319348659004E-5
-4.75233,-9.099109770114926E-5
-4.25233,-9.101488697318006E-5
-3.75233,-7.891244636015304E-5
-3.25233,-5.914403639846748E-5
-2.75233,-4.029317816091967E-5
-2.25233,-3.0853534482758356E-5
-1.75233,-3.6042863984674404E-5
-1.25233,-5.37108371647505E-5
-0.752326,-7.568376245210731E-5
-0.252326,-1.0967188888888848E-4
0.247674,-1.4770430459770103E-4
0.747674,-1.7437172796934885E-4
1.24767,-1.8371735823754804E-4
1.74767,-1.8430546168582385E-4
2.24767,-1.7595992720306525E-4
2.74767,-1.629265268199235E-4
3.24767,-1.495990306513411E-4
3.74767,-1.3602641187739442E-4
4.24767,-1.199927816091952E-4
4.74767,-1.0094155555555534E-4
5.24767,-8.062173946360137E-5
5.74767,-6.150389272030661E-5
6.24767,-4.672260344827563E-5
6.74767,-3.827748850574711E-5
7.24767,-3.701501724137938E-5
7.74767,-4.170730651340991E-5
8.24767,-5.053086781609201E-5
8.74767,-6.082822030651334E-5
9.24767,-7.006431226053644E-5
9.74767,-7.690818199233742E-5
10.2477,-8.08986149425288E-5
10.7477,-8.299199808429114E-5
11.2477,-8.385854022988505E-5
11.7477,-8.34868639846744E-5
12.2477,-8.13991704980842E-5
12.7477,-7.710389846743296E-5
13.2477,-7.040104980842897E-5
13.7477,-6.143609003831393E-5
14.2477,-5.0781406130268264E-5
14.7477,-3.874888314176232E-5
15.2477,-2.5154088122605564E-5
15.7477,-9.922641762452199E-6
16.2477,7.134402298850594E-6
16.7477,2.5359572796934855E-5
17.2477,4.298182950191571E-5
17.7477,5.8396572796935156E-5
18.2477,7.029658237547886E-5
18.7477,7.670190804597683E-5
19.2477,7.919591187739456E-5
19.7477,7.678682567049814E-5
