ArcLength,DeltaRD
-23.5362,-4.3803601915708807E-4
-23.0362,-4.1832445785440616E-4
-22.5362,-3.947167011494254E-4
-22.0362,-3.6376936206896564E-4
-21.5362,-3.181442298850575E-4
-21.0362,-2.6665580076628355E-4
-20.5362,-2.1761566091954018E-4
-20.0362,-1.7420033524904202E-4
-19.5362,-1.3661645210727983E-4
-19.0362,-1.0651649616858237E-4
-18.5362,-8.787132950191588E-5
-18.0362,-8.335329693486579E-5
-17.5362,-9.070921072796943E-5
-17.0362,-1.0362862068965509E-4
-16.5362,-1.1651036781609194E-4
-16.0362,-1.2680079310344836E-4
-15.5362,-1.351360229885058E-4
-15.0362,-1.436560727969349E-4
-14.5362,-1.504332624521073E-4
-14.0362,-1.5036913601532576E-4
-13.5362,-1.398471896551724E-4
-13.0362,-1.1811248850574727E-4
-12.5362,-8.966906130268202E-5
-12.0362,-6.141171647509587E-5
-11.5362,-3.8832484674329354E-5
-11.0362,-2.4971390804597493E-5
-10.5362,-1.836889080459778E-5
-10.0362,-1.4711047892720214E-5
-9.53622,-9.8115957854406E-6
-9.03622,-1.8237164750955874E-6
-8.53622,8.654239463601592E-6
-8.03622,1.92131743295017E-5
-7.53622,2.692785249042151E-5
-7.03622,2.9607626436781642E-5
-6.53622,2.6992906130268246E-5
-6.03622,2.125349425287354E-5
-5.53622,1.5530975095785456E-5
-5.03622,1.2341649425287333E-5
-4.53622,1.2692164750958013E-5
-4.03622,1.5057011494252885E-5
-3.53622,1.5186614942528797E-5
-3.03622,9.3270977011492E-6
-2.53622,-1.2140555555556314E-6
-2.03622,-6.37523371647508E-6
-1.53622,9.70498084291191E-6
-1.03622,5.0132484674329466E-5
-0.536224,1.1544647701149427E-4
-0.0362243,2.002860344827588E-4
0.463776,2.530426877394639E-4
0.963776,2.46023829501916E-4
1.46378,1.9703617049808423E-4
1.96378,1.227434521072797E-4
2.46378,4.773993678160952E-5
2.96378,-1.3276473180076718E-5
3.46378,-5.99222298850574E-5
3.96378,-9.863601532567035E-5
4.46378,-1.3392870498084286E-4
4.96378,-1.6676780076628332E-4
5.46378,-1.9620038314176246E-4
5.96378,-2.2099759578544053E-4
6.46378,-2.4031661302682014E-4
6.96378,-2.531233429118772E-4
7.46378,-2.582694521072795E-4
7.96378,-2.5543085823754783E-4
8.46378,-2.456144980842913E-4
8.96378,-2.30519703065134E-4
9.46378,-2.1205504980842898E-4
9.96378,-1.9177009386973188E-4
10.4638,-1.7151942528735608E-4
10.9638,-1.5332867241379304E-4
11.4638,-1.3864214559386988E-4
11.9638,-1.2862115708812255E-4
12.4638,-1.2292640229885068E-4
12.9638,-1.2067131800766299E-4
13.4638,-1.2061797892720313E-4
13.9638,-1.2150040229885056E-4
14.4638,-1.224109559386971E-4
14.9638,-1.2306350383141775E-4
15.4638,-1.2351316858237571E-4
15.9638,-1.2329500574712645E-4
16.4638,-1.2263367049808406E-4
16.9638,-1.2218786015325673E-4
17.4638,-1.223434003831418E-4
17.9638,-1.2294302107279708E-4
18.4638,-1.217140766283524E-4
18.9638,-1.1601643486590038E-4
19.4638,-1.0430215900383128E-4
19.9638,-8.633604597701138E-5
20.4638,-6.516849425287343E-5
20.9638,-4.472555747126448E-5
21.4638,-2.6361344827586218E-5
21.9638,-1.2909273946360247E-5
22.4638,-4.446295019157288E-6
22.9638,1.4107777777777044E-6
