ArcLength,DeltaRD
-18.7941,-1.2209972413793264E-5
-18.2941,-1.7797773103448073E-5
-17.7941,-2.2100100689655014E-5
-17.2941,-2.7355300000000168E-5
-16.7941,-3.524079586206903E-5
-16.2941,-4.754307103448281E-5
-15.7941,-6.421972758620669E-5
-15.2941,-7.678244551724133E-5
-14.7941,-7.52193255172417E-5
-14.2941,-6.022309379310326E-5
-13.7941,-4.8193955862068944E-5
-13.2941,-4.341159586206914E-5
-12.7941,-4.421167586206927E-5
-12.2941,-4.891616965517248E-5
-11.7941,-5.4927149655172557E-5
-11.2941,-5.977561793103477E-5
-10.7941,-6.153120965517254E-5
-10.2941,-5.976373103448252E-5
-9.79409,-5.5235587586206954E-5
-9.29409,-4.985124413793107E-5
-8.79409,-4.5722233793103794E-5
-8.29409,-4.389793586206882E-5
-7.79409,-4.444747517241376E-5
-7.29409,-4.657750137931037E-5
-6.79409,-4.924235655172425E-5
-6.29409,-5.129652551724142E-5
-5.79409,-5.178074137931034E-5
-5.29409,-5.083278620689657E-5
-4.79409,-4.937769241379316E-5
-4.29409,-4.7832514482758735E-5
-3.79409,-4.6425816551724244E-5
-3.29409,-4.463633241379302E-5
-2.79409,-4.2501130344827615E-5
-2.29409,-4.0510355172413944E-5
-1.79409,-3.873599241379299E-5
-1.29409,-3.7511003448275953E-5
-0.794094,-3.681792620689663E-5
-0.294094,-3.7345342758620846E-5
0.205906,-3.93619462068966E-5
0.705906,-4.1766094482758686E-5
1.20591,-4.3260623448275904E-5
1.70591,-4.362767586206886E-5
2.20591,-4.246859310344834E-5
2.70591,-4.029955724137906E-5
3.20591,-3.801600965517248E-5
3.70591,-3.6260499310344896E-5
4.20591,-3.5374171724137965E-5
4.70591,-3.533856068965518E-5
5.20591,-3.603435379310332E-5
5.70591,-3.7663392413793146E-5
6.20591,-4.026275379310335E-5
6.70591,-4.2864204827586304E-5
7.20591,-4.419017862068958E-5
7.70591,-4.364755793103434E-5
8.20591,-4.1596155862068667E-5
8.70591,-3.852652275862078E-5
9.20591,-3.525545931034463E-5
9.70591,-3.3432874482758465E-5
10.2059,-3.6190734482758756E-5
10.7059,-4.513143655172425E-5
11.2059,-5.7096769655172463E-5
11.7059,-6.841367034482763E-5
12.2059,-7.264455103448287E-5
12.7059,-6.84930199999999E-5
13.2059,-5.912632551724169E-5
13.7059,-4.7367349655172636E-5
14.2059,-3.706973862068949E-5
14.7059,-2.6820497931034394E-5
15.2059,-1.4137222758620581E-5
15.7059,8.547579310345596E-7
16.2059,1.491594000000004E-5
16.7059,2.356378896551715E-5
17.2059,2.4769467586206848E-5
17.7059,2.071169448275849E-5
18.2059,1.1830653103448059E-5
