ArcLength,DeltaRD
-12.5745,-2.98060589836661E-5
-12.0745,-3.972364972776776E-5
-11.5745,-5.0312990925589795E-5
-11.0745,-5.3084155172413664E-5
-10.5745,-5.0901084392014325E-5
-10.0745,-4.451434664246804E-5
-9.57454,-3.35015698729583E-5
-9.07454,-2.426987568058094E-5
-8.57454,-2.5111049001814946E-5
-8.07454,-4.412631215970945E-5
-7.57454,-8.216447186932846E-5
-7.07454,-1.321106551724139E-4
-6.57454,-1.8190897277676956E-4
-6.07454,-2.2026157350272222E-4
-5.57454,-2.4288599637023618E-4
-5.07454,-2.507657803992741E-4
-4.57454,-2.4669285027223214E-4
-4.07454,-2.3291552813067156E-4
-3.57454,-2.1151965154264998E-4
-3.07454,-1.8685319872958255E-4
-2.57454,-1.6420733393829377E-4
-2.07454,-1.4817792196007284E-4
-1.57454,-1.405070653357533E-4
-1.07454,-1.387992767695102E-4
-0.574536,-1.400534519056262E-4
-0.0745358,-1.4276917422867527E-4
0.425464,-1.440361678765879E-4
0.925464,-1.4202053992740462E-4
1.42546,-1.370352277676951E-4
1.92546,-1.2990282214156088E-4
2.42546,-1.2450937023593465E-4
2.92546,-1.2509876315789492E-4
3.42546,-1.3418712431941915E-4
3.92546,-1.525496896551724E-4
4.42546,-1.8108562341197828E-4
4.92546,-2.201752976406532E-4
5.42546,-2.664154373865699E-4
5.92546,-3.113809364791287E-4
6.42546,-3.3751349637023604E-4
6.92546,-3.2452166787658783E-4
7.42546,-2.6458377041742277E-4
7.92546,-1.660116433756804E-4
8.42546,-5.510396188747693E-5
8.92546,4.3870060798547944E-5
9.42546,1.0349540018148766E-4
9.92546,1.1162185571687844E-4
10.4255,8.215736560798531E-5
10.9255,4.341765054446467E-5
11.4255,5.352065335753327E-6
11.9255,-1.2528390807622631E-5
12.4255,-1.3416749297558714E-5
12.9255,-2.839425449979152E-5
